seed,test_idx,RePaint_r=10_rmse,RePaint_r=10_time,RePaint_r=1_rmse,RePaint_r=1_time,DPS_z=0.5_rmse,DPS_z=0.5_time,DPS_z=0.04_rmse,DPS_z=0.04_time,RD_r=10_z=0.5_rmse,RD_r=10_z=0.5_time,RD_r=10_z=0.04_rmse,RD_r=10_z=0.04_time,RD_r=1_z=0.5_rmse,RD_r=1_z=0.5_time,RD_r=1_z=0.04_rmse,RD_r=1_z=0.04_time
70,70,0.09429135918617249,99.33870665599534,0.16019822657108307,9.783604229000048,0.04819908365607262,33.58019686899206,0.033257462084293365,34.582106362999184,0.04770297557115555,334.15217967100034,0.049218643456697464,326.59952271000657,0.05617574602365494,36.030360906996066,0.0402030423283577,34.753086805008934
77,77,0.054101571440696716,113.56707046400697,0.06214421987533569,9.951371066010324,0.08474326133728027,32.49838646700664,0.09083563089370728,34.3779968660092,0.04862648621201515,343.1763084300037,0.016764244064688683,332.60387244599406,0.05975709110498428,32.87814912099566,0.10322511196136475,34.05037777899997
84,84,0.05083638057112694,107.03251360599825,0.08283016830682755,11.379973739007255,0.08918941020965576,33.661494308995316,0.042613036930561066,37.54524551000213,0.07321349531412125,339.59458716699737,0.044496163725852966,339.28359235498647,0.08322695642709732,32.462400188989704,0.04168813303112984,32.94912511498842
91,91,0.03988495096564293,95.25519213100779,0.14916832745075226,9.011548761991435,0.06755834817886353,33.77011856599711,0.08107339590787888,34.56390237000596,0.031480394303798676,346.94394119500066,0.03212234377861023,335.58002910199866,0.09979288280010223,35.2638462150062,0.030309995636343956,33.98533714900259
98,98,0.10688729584217072,118.23338836999028,0.054525069892406464,11.930944601001102,0.08014735579490662,33.33169713499956,0.04816535487771034,33.017409499996575,0.029311243444681168,329.76354774400534,0.06739182025194168,339.68683972599683,0.08420336246490479,34.77249334999942,0.041181985288858414,34.529102207001415
105,105,0.06334514915943146,103.77271348101203,0.14517734944820404,9.496118094000849,0.032712068408727646,30.20659915699798,0.021051689982414246,33.45508495499962,0.027825478464365005,337.27376381999056,0.031360041350126266,331.48858179598756,0.02456699311733246,31.096414883999387,0.023111283779144287,35.90555291400233
112,112,0.05369101092219353,99.08233441199991,0.18525296449661255,9.429536437994102,0.03909279406070709,33.499816593990545,0.01940998248755932,31.74817064999661,0.02237820252776146,333.11191500800487,0.02097884565591812,413.909375164003,0.02278781123459339,39.090888375998475,0.02834273688495159,37.77059230100713
119,119,0.16451075673103333,144.01529356300307,0.08767836540937424,12.941230708995136,0.07969216257333755,36.74849028499739,0.03566381707787514,46.37511208100477,0.05007913336157799,362.2672694100038,0.06957024335861206,346.79520670798956,0.08600649982690811,35.56066925999767,0.03800525143742561,35.08922211600293
126,126,0.07739010453224182,97.76156932199956,0.0529252327978611,9.411063678999199,0.04669155180454254,30.19536409700231,0.04775374382734299,30.53954389199498,0.03930511325597763,321.5613991709979,0.0576486699283123,304.18031925099785,0.05732546001672745,32.42571620200761,0.04299140349030495,32.04281207000895
133,133,0.0627986341714859,92.06049976199574,0.10128306597471237,9.29436976199213,0.0630502700805664,30.123172736988636,0.04044250026345253,30.626342873991234,0.051975756883621216,300.69357014300476,0.044347722083330154,308.5918549269991,0.05632852762937546,30.858878023995203,0.04054555296897888,32.34197642200161
