seed,test_idx,RePaint_r10_rmse,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_rmse,DPS_z0.04_mag_err,DPS_z0.04_angle_err_deg,DPS_z0.04_time
70,70,0.2404809296131134,0.137339249253273,67.94361877441406,4.216446454636753,0.1933976113796234,0.12392131239175797,59.5451774597168,0.4049356961622834,0.12621983885765076,0.06861534714698792,45.4608154296875,1.6303801778703928
77,77,0.20881983637809753,0.10451585799455643,67.24343872070312,4.256329360418022,0.2794797122478485,0.19481854140758514,63.88084411621094,0.41857906710356474,0.11051887273788452,0.05937312915921211,49.73304748535156,1.5688202697783709
84,84,0.1171576976776123,0.07302083820104599,35.37223434448242,4.188608217984438,0.11290383338928223,0.049492403864860535,63.315303802490234,0.41960316337645054,0.09486965090036392,0.05561655014753342,53.03133010864258,1.585052608512342
91,91,0.23304519057273865,0.13314010202884674,62.82913589477539,4.214958272874355,0.10681801289319992,0.06673961132764816,33.84053039550781,0.3951076827943325,0.1323603242635727,0.08670039474964142,37.84476852416992,1.648482902906835
98,98,0.1303064525127411,0.07462795823812485,50.5975456237793,4.14972929097712,0.12297266721725464,0.07495324313640594,34.672019958496094,0.3913167016580701,0.13179604709148407,0.09592805057764053,45.01806640625,1.5724556352943182
105,105,0.1798371821641922,0.10506292432546616,94.59043884277344,4.2536136684939265,0.12699319422245026,0.07925259321928024,67.99464416503906,0.40343335922807455,0.05153144896030426,0.020756052806973457,83.83216094970703,1.551948151551187
112,112,0.16434328258037567,0.0766003355383873,60.35348892211914,4.228396729566157,0.1806335151195526,0.09013087302446365,74.61361694335938,0.39780891221016645,0.11546196788549423,0.06618113815784454,42.2852668762207,1.567798095755279
119,119,0.18824225664138794,0.1124761551618576,75.66736602783203,4.212556259706616,0.14818276464939117,0.08396393805742264,84.31851196289062,0.3984793536365032,0.0828421488404274,0.054274190217256546,62.02118682861328,1.6083239242434502
126,126,0.24698525667190552,0.17782333493232727,81.55989837646484,4.185359281487763,0.43344900012016296,0.31118911504745483,102.22847747802734,0.3885347880423069,0.1223953440785408,0.07053918391466141,88.47449493408203,1.6410163892433047
133,133,0.36000704765319824,0.1811053305864334,87.34842681884766,4.192663220688701,0.15856745839118958,0.07837968319654465,58.11589050292969,0.39004786033183336,0.08002249151468277,0.04901907220482826,33.828590393066406,1.5790069987997413
140,140,0.30921390652656555,0.1742546409368515,75.73380279541016,4.176221405155957,0.2651877999305725,0.1562836915254593,70.99500274658203,0.41126579605042934,0.1800948530435562,0.12015184015035629,64.25662994384766,1.5669117225334048
147,147,0.2794153690338135,0.09690907597541809,97.9596939086914,4.195110883563757,0.34659042954444885,0.13753420114517212,129.79078674316406,0.4148778272792697,0.24602557718753815,0.10347729921340942,109.51795196533203,1.5590654835104942
154,154,0.21821951866149902,0.13727380335330963,50.927730560302734,4.271901576779783,0.23027640581130981,0.12715011835098267,78.08940887451172,0.39787087589502335,0.14866197109222412,0.09589008241891861,46.08396530151367,1.5669868495315313
161,161,0.1546972095966339,0.07344294339418411,97.71575927734375,4.313187209889293,0.19130095839500427,0.11690402030944824,85.1068344116211,0.39787458442151546,0.12571918964385986,0.057069651782512665,92.0594482421875,1.599762100726366
168,168,0.3619158864021301,0.25457048416137695,69.51265716552734,4.215069086290896,0.22229960560798645,0.15712054073810577,67.94903564453125,0.38615881837904453,0.11447165906429291,0.057466186583042145,58.873939514160156,1.6035708114504814
175,175,0.1710883378982544,0.10439225286245346,45.8504638671875,4.195444189012051,0.179628387093544,0.1018768697977066,62.00191879272461,0.38702504243701696,0.15619662404060364,0.1041070744395256,55.395294189453125,1.5996139887720346
182,182,0.24267514050006866,0.17166760563850403,47.36273956298828,4.479280447587371,0.15389490127563477,0.08291228115558624,69.13811492919922,0.41142150945961475,0.12225767970085144,0.06556243449449539,47.14960861206055,1.7322951443493366
189,189,0.22231584787368774,0.08527661114931107,106.70375061035156,4.3466575453057885,0.22207637131214142,0.07632653415203094,118.04373168945312,0.4310713680461049,0.14118850231170654,0.05432729795575142,105.60285949707031,1.6579533368349075
196,196,0.1410425305366516,0.07471692562103271,64.50882720947266,4.274607731960714,0.12443174421787262,0.06474225223064423,60.93614959716797,0.42624445352703333,0.0818735808134079,0.046846598386764526,57.89381408691406,1.6503112511709332
203,203,0.1815975457429886,0.11496575176715851,42.00568771362305,4.439796743914485,0.18461184203624725,0.13502712547779083,33.788578033447266,0.4109091917052865,0.2650134563446045,0.16671164333820343,86.29456329345703,1.5995764322578907
210,210,0.1955796331167221,0.10507681965827942,52.61665344238281,4.256198158487678,0.3192858397960663,0.23926977813243866,51.13102722167969,0.39729607850313187,0.13846570253372192,0.0790415033698082,72.50460815429688,1.5874005313962698
