seed,test_idx,RePaint_r10_rmse,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_(latent)_rmse,DPS_z0.04_(latent)_mag_err,DPS_z0.04_(latent)_angle_err_deg,DPS_z0.04_(latent)_time,DPS_z0.04_(decode)_rmse,DPS_z0.04_(decode)_mag_err,DPS_z0.04_(decode)_angle_err_deg,DPS_z0.04_(decode)_time
70,70,0.19156071543693542,0.10711751878261566,49.85580062866211,4.393231036141515,0.18693050742149353,0.12554943561553955,46.52594757080078,0.4334212513640523,0.1608109176158905,0.08616069704294205,39.65672302246094,1.7466303911060095,0.17295674979686737,0.10610578954219818,32.001956939697266,2.311919911764562
77,77,0.3191183805465698,0.21203812956809998,62.81228256225586,4.266820568591356,0.16387532651424408,0.07671239972114563,63.57763671875,0.40117774810642004,0.1413305252790451,0.09096318483352661,49.019046783447266,1.708163264207542,0.11900772154331207,0.06184198334813118,43.15366744995117,2.2282240372151136
84,84,0.18674218654632568,0.09229563921689987,64.50390625,4.2209305772557855,0.14013919234275818,0.06888556480407715,46.480350494384766,0.40034591127187014,0.12427064031362534,0.05544060096144676,74.69257354736328,1.7107746908441186,0.11816861480474472,0.05906481295824051,37.81452560424805,2.291535251773894
91,91,0.21765173971652985,0.11710318922996521,60.659915924072266,4.256569805555046,0.1584000438451767,0.07168585807085037,58.03749465942383,0.3964759409427643,0.15439137816429138,0.09817536175251007,60.2196044921875,1.7186138527467847,0.20261162519454956,0.11786428093910217,56.72171401977539,2.3313060216605663
98,98,0.15808497369289398,0.08696892112493515,62.371891021728516,4.339385289698839,0.17291834950447083,0.11549413949251175,55.593299865722656,0.39779379218816757,0.15723751485347748,0.10812640190124512,53.78969192504883,1.759002711623907,0.16539955139160156,0.11127220094203949,55.75853729248047,2.3175831753760576
105,105,0.11691822111606598,0.06835926324129105,81.05412292480469,4.244527845643461,0.13025802373886108,0.07452394813299179,88.18484497070312,0.40134976245462894,0.06324073672294617,0.024017559364438057,101.03226470947266,1.7232442880049348,0.08493742346763611,0.04204874485731125,88.4583969116211,2.302185065113008
112,112,0.20753803849220276,0.09127861261367798,85.59788513183594,4.2463803719729185,0.12087126076221466,0.07893650978803635,45.46219253540039,0.41094578988850117,0.15865005552768707,0.08521363884210587,73.2421646118164,1.7108768532052636,0.1255778670310974,0.07327411323785782,26.138471603393555,2.3056845543906093
119,119,0.39359188079833984,0.2855161130428314,78.5439453125,4.23624456115067,0.29454272985458374,0.21391905844211578,91.482177734375,0.3985644355416298,0.26492545008659363,0.23109793663024902,80.15536499023438,1.7256265180185437,0.0685797929763794,0.02795952931046486,71.679443359375,2.308988196775317
126,126,0.1300552785396576,0.07183681428432465,97.79633331298828,4.306568367406726,0.39959365129470825,0.28735145926475525,98.24710845947266,0.42809102963656187,0.1226760596036911,0.08048038184642792,71.21476745605469,1.694786005653441,0.10403493046760559,0.05512256547808647,71.48637390136719,2.2593508567661047
133,133,0.32617416977882385,0.11484306305646896,96.50239562988281,4.454154780134559,0.2470882534980774,0.12828166782855988,86.8975830078125,0.4105397006496787,0.13183091580867767,0.10374945402145386,44.3760871887207,1.749419036321342,0.10029449313879013,0.06198646500706673,30.650861740112305,2.3231901368126273
