seed,test_idx,RePaint_r10_rmse,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_time,DPS_z0.5_rmse,DPS_z0.5_time,DPS_z0.04_rmse,DPS_z0.04_time,RD_r1_z0.5_rmse,RD_r1_z0.5_time,RD_r1_z0.04_rmse,RD_r1_z0.04_time,DDIM_eta0_rmse,DDIM_eta0_time,DDIM_eta1_rmse,DDIM_eta1_time,DDIM_DPS_e0_z0.5_rmse,DDIM_DPS_e0_z0.5_time,DDIM_DPS_e0_z0.04_rmse,DDIM_DPS_e0_z0.04_time,DDIM_DPS_e1_z0.5_rmse,DDIM_DPS_e1_z0.5_time,DDIM_DPS_e1_z0.04_rmse,DDIM_DPS_e1_z0.04_time
77,77,0.14940737187862396,6.744699950329959,0.04650714993476868,0.6548412637785077,0.08538689464330673,2.1682774890214205,0.06509321928024292,2.3634710712358356,0.11274819076061249,2.5380777567625046,0.04124917834997177,2.5961241936311126,0.08632223308086395,0.6875224150717258,0.09474009275436401,0.6698575681075454,0.12740176916122437,2.0443206196650863,0.041530683636665344,1.9492570124566555,0.16348226368427277,1.8202110175043344,0.08177441358566284,2.048246798105538
84,84,0.13804668188095093,6.7806915594264865,0.09541743248701096,0.646372327581048,0.17638976871967316,2.4342015283182263,0.05579083785414696,2.5192699236795306,0.14689652621746063,2.541998931206763,0.03539266064763069,2.5192940020933747,0.12364041805267334,0.7254261299967766,0.08491137623786926,0.6555726090446115,0.27261099219322205,2.0187964010983706,0.055785875767469406,2.0362187707796693,0.1479591578245163,2.0111360708251595,0.05517518147826195,2.0824035350233316
91,91,0.030785663053393364,6.781411804258823,0.1048349142074585,0.6409780057147145,0.10623564571142197,2.468931811861694,0.06884587556123734,2.5752052469179034,0.1189093366265297,2.645262885838747,0.031215693801641464,2.6584655651822686,0.08040962368249893,0.7284513125196099,0.07887334376573563,0.6422843467444181,0.1136351153254509,2.1088363407179713,0.0609099343419075,1.980179970152676,0.11419239640235901,2.0765451788902283,0.07095929235219955,2.0457805721089244
98,98,0.022597024217247963,6.770330798812211,0.046281374990940094,0.649117223918438,0.1357831358909607,2.5847594710066915,0.05960560217499733,2.5177904041484,0.14084365963935852,2.566884618252516,0.041636548936367035,2.5712576312944293,0.18809878826141357,0.7404072359204292,0.08898040652275085,0.6503992602229118,0.10603465139865875,1.9030716558918357,0.06991279125213623,2.0289921713992953,0.17770136892795563,2.0377353178337216,0.04642128944396973,2.0208582878112793
105,105,0.10515537112951279,6.739532608538866,0.042868826538324356,0.6443338487297297,0.029118511825799942,2.5617584604769945,0.024542400613427162,2.5373559929430485,0.051204241812229156,2.6235337741672993,0.03077946975827217,2.592647587880492,0.0921424850821495,0.7353868260979652,0.0816134661436081,0.6506457114592195,0.08427398651838303,2.0466997511684895,0.03114691935479641,1.9653408266603947,0.019415557384490967,1.934874726459384,0.035113997757434845,1.983602611348033
112,112,0.07377880066633224,6.873761061578989,0.03533853217959404,0.651904508471489,0.030370328575372696,2.4383668145164847,0.021804986521601677,2.5757270362228155,0.035950906574726105,2.6230854373425245,0.05343085899949074,2.602334287017584,0.10760629177093506,0.7129961224272847,0.0869206041097641,0.6470554899424314,0.10689982771873474,1.9814404211938381,0.02315046265721321,1.9739541243761778,0.03092585876584053,2.0063218167051673,0.013817351311445236,2.0766075616702437
119,119,0.11882948875427246,6.683117098174989,0.1181337758898735,0.6487482339143753,0.07968785613775253,2.412232189439237,0.036145832389593124,2.5108706075698137,0.17700518667697906,2.5675397478044033,0.045933373272418976,2.509089784696698,0.10927126556634903,0.7067959979176521,0.06666507571935654,0.6661347337067127,0.1894187331199646,2.0797934690490365,0.03353111818432808,2.066861979663372,0.1346130669116974,2.0058543933555484,0.03616685792803764,1.9595043892040849
126,126,0.11545688658952713,6.817747782915831,0.06571796536445618,0.6695157187059522,0.06311210989952087,2.6246290393173695,0.03532368689775467,2.5021716514602304,0.14345455169677734,2.55249300878495,0.07539811730384827,2.5266706738620996,0.04405895620584488,0.7379539366811514,0.04112200438976288,0.6214723940938711,0.19301004707813263,2.0118737891316414,0.030632711946964264,1.9478889890015125,0.0708942860364914,1.9280970441177487,0.027324900031089783,2.0016880286857486
133,133,0.07481507211923599,6.5181101858615875,0.08993230760097504,0.6531525496393442,0.08518746495246887,2.523670669645071,0.056726258248090744,2.425216061063111,0.13768234848976135,2.6112725948914886,0.06096024066209793,2.5939127737656236,0.08549829572439194,0.7331603253260255,0.14887455105781555,0.6372998021543026,0.1577388346195221,1.956557177938521,0.06629527360200882,2.0123143922537565,0.08545049279928207,1.9892696561291814,0.061414606869220734,2.011682962998748
140,140,0.1336836963891983,6.7051446586847305,0.11737469583749771,0.6242588106542826,0.12263359129428864,2.454283327795565,0.03861057758331299,2.531524014659226,0.10234619677066803,2.561707622371614,0.052364956587553024,2.5864006085321307,0.18890021741390228,0.7446075417101383,0.1322474479675293,0.6877475185319781,0.15543009340763092,2.1034613475203514,0.057645559310913086,2.0083172721788287,0.06928730010986328,2.0072625325992703,0.06772011518478394,1.9385493183508515
147,147,0.20348618924617767,6.660400703549385,0.12091898173093796,0.6883103381842375,0.09172995388507843,2.4844404784962535,0.04815957322716713,2.5142072327435017,0.13290229439735413,2.5808607023209333,0.05133979022502899,2.556582272052765,0.15889328718185425,0.7101320661604404,0.1658337563276291,0.6342275906354189,0.1357107013463974,1.8686047149822116,0.10866410285234451,1.9956089677289128,0.12361295521259308,1.947235713712871,0.04247302934527397,1.9591905632987618
154,154,0.07470978796482086,6.67744059395045,0.14056432247161865,0.6437546126544476,0.10705485194921494,2.4844459667801857,0.06459077447652817,2.548466045409441,0.11562976986169815,2.5752178793773055,0.03454010561108589,2.502108826301992,0.1336403489112854,0.724457691423595,0.09290915727615356,0.6426711399108171,0.1318819373846054,1.939084772951901,0.032335538417100906,2.007938745431602,0.13838164508342743,2.029267185367644,0.04410543292760849,2.0601014643907547
161,161,0.12321865558624268,6.795319381169975,0.09199836850166321,0.6391781261190772,0.18149176239967346,2.525303049944341,0.033904142677783966,2.5456266701221466,0.14287538826465607,2.5707466304302216,0.05186217650771141,2.5911902021616697,0.06380578875541687,0.7556799510493875,0.06617129594087601,0.6558637535199523,0.1994365155696869,2.0347413504496217,0.05516621470451355,2.0089650517329574,0.0801045224070549,1.974652973935008,0.04416608065366745,2.0143955294042826
168,168,0.07959526032209396,6.792311574332416,0.09441850334405899,0.6730844620615244,0.034401629120111465,2.5422617439180613,0.03273111581802368,2.5117464745417237,0.06289181113243103,2.5647428249940276,0.045561909675598145,2.567769093438983,0.09240037202835083,0.7387546086683869,0.056050561368465424,0.6881496887654066,0.11435184627771378,1.998596804216504,0.03755982965230942,1.9138730941340327,0.036744389683008194,1.9249681802466512,0.06484491378068924,1.9530506394803524
