12 Methods  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 100

Method                    Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
---------------------------------------------------------------------------
RePaint r=10                 0.0978     0.0485   0.0226   0.2608          6.74
RePaint r=1                  0.1062     0.0511   0.0353   0.2948          0.65
DPS z=0.5                    0.1221     0.0566   0.0142   0.3304          2.48
DPS z=0.04                   0.0583     0.0256   0.0210   0.1439          2.53
RD r=1 z=0.5                 0.1319     0.0575   0.0205   0.3254          2.58
RD r=1 z=0.04                0.0611     0.0259   0.0208   0.1342          2.59
DDIM eta=0                   0.1241     0.0567   0.0421   0.3380          0.73
DDIM eta=1                   0.1046     0.0462   0.0411   0.3069          0.65
DDIM+DPS e0 z=0.5            0.1725     0.0615   0.0711   0.3909          2.01
DDIM+DPS e0 z=0.04           0.0665     0.0248   0.0195   0.1610          2.00
DDIM+DPS e1 z=0.5            0.1184     0.0561   0.0164   0.3406          2.01
DDIM+DPS e1 z=0.04           0.0569     0.0257   0.0138   0.1637          2.00

Per-seed breakdown:
    Seed   idx  RePaint r=      t  RePaint r=      t   DPS z=0.5      t  DPS z=0.04      t  RD r=1 z=0      t  RD r=1 z=0      t  DDIM eta=0      t  DDIM eta=1      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t
     217   217      0.0361    7.0      0.1514    0.7      0.1439    2.6      0.0512    2.6      0.1027    2.9      0.0285    2.9      0.1848    0.7      0.1453    0.7      0.2093    2.0      0.0469    2.1      0.1032    2.0      0.0563    2.1
     224   224      0.0386    6.7      0.0864    0.7      0.0877    2.4      0.0450    2.6      0.1749    2.6      0.0991    2.6      0.1636    0.7      0.0829    0.6      0.1631    1.9      0.0742    2.0      0.1028    2.0      0.0468    2.1
     231   231      0.1629    6.8      0.2165    0.7      0.2361    2.5      0.0722    2.5      0.1574    2.6      0.1259    2.5      0.1842    0.7      0.0978    0.7      0.2739    2.0      0.0655    2.1      0.1977    2.1      0.0731    2.0
     238   238      0.0750    6.6      0.0745    0.6      0.0810    2.4      0.0602    2.5      0.0923    2.5      0.0441    2.4      0.1014    0.7      0.0981    0.6      0.1113    2.0      0.0789    1.9      0.0824    2.0      0.0479    1.8
     245   245      0.2433    6.6      0.0503    0.6      0.0855    2.3      0.0712    2.4      0.1449    2.6      0.0916    2.5      0.0784    0.8      0.1068    0.6      0.1463    2.0      0.0888    2.0      0.1262    2.0      0.0658    2.0
     252   252      0.0370    6.8      0.1183    0.7      0.1225    2.5      0.0682    2.5      0.1689    2.6      0.1045    2.9      0.0637    0.7      0.0876    0.7      0.1920    2.1      0.0661    2.1      0.1635    2.1      0.0561    2.0
     259   259      0.0550    6.7      0.1216    0.7      0.1042    2.5      0.0490    2.6      0.3254    2.6      0.0666    2.6      0.0975    0.7      0.1214    0.7      0.1748    2.0      0.0588    2.0      0.0708    2.1      0.0600    2.1
     266   266      0.0946    6.5      0.0616    0.6      0.0889    2.4      0.0449    2.6      0.0610    2.6      0.0606    2.6      0.3380    0.7      0.1481    0.6      0.1026    2.0      0.0474    2.1      0.0819    2.0      0.0408    2.0
     273   273      0.0824    6.8      0.2948    0.7      0.2291    2.6      0.0612    2.6      0.2016    2.6      0.0495    2.6      0.1531    0.7      0.1732    0.7      0.2280    2.0      0.0458    2.1      0.1947    2.0      0.0667    2.1
     280   280      0.0571    6.6      0.0356    0.6      0.0608    2.5      0.0335    2.5      0.0450    2.6      0.0744    2.5      0.1068    0.7      0.0598    0.6      0.1073    2.0      0.0682    2.0      0.0668    2.0      0.0650    2.1
