seed,test_idx,UNet_RePaint_r10_rmse,UNet_RePaint_r10_mag_err,UNet_RePaint_r10_angle_err_deg,UNet_RePaint_r10_time,UNet_RePaint_r1_rmse,UNet_RePaint_r1_mag_err,UNet_RePaint_r1_angle_err_deg,UNet_RePaint_r1_time,UNet_DPS_z0.04_rmse,UNet_DPS_z0.04_mag_err,UNet_DPS_z0.04_angle_err_deg,UNet_DPS_z0.04_time,FNO_RePaint_r10_rmse,FNO_RePaint_r10_mag_err,FNO_RePaint_r10_angle_err_deg,FNO_RePaint_r10_time,FNO_RePaint_r1_rmse,FNO_RePaint_r1_mag_err,FNO_RePaint_r1_angle_err_deg,FNO_RePaint_r1_time,FNO_DPS_z0.04_rmse,FNO_DPS_z0.04_mag_err,FNO_DPS_z0.04_angle_err_deg,FNO_DPS_z0.04_time
140,140,0.09014465659856796,0.06200949475169182,9.40340518951416,6.422641792334616,0.1561194211244583,0.10831240564584732,33.55329132080078,0.6151905059814453,0.08522120118141174,0.05046898126602173,11.87568473815918,2.3242269437760115,0.14017337560653687,0.08562155812978745,22.464221954345703,4.438302078284323,0.2881053686141968,0.08393311500549316,105.36564636230469,0.41815376561135054,0.13830772042274475,0.07158785313367844,59.31097412109375,1.6873620860278606
147,147,0.22799251973628998,0.06414015591144562,86.6821517944336,6.5323163429275155,0.1920529305934906,0.07288035750389099,79.44526672363281,0.6220920663326979,0.08292550593614578,0.03868312016129494,23.262922286987305,2.3587832637131214,0.15144434571266174,0.05528263747692108,56.48159408569336,4.447629990056157,0.3008309006690979,0.09462717175483704,114.5671157836914,0.41422326024621725,0.16750787198543549,0.059327688068151474,94.62801361083984,1.7779958043247461
154,154,0.08772183954715729,0.04126758500933647,44.52106475830078,6.448474099859595,0.253897100687027,0.07510621100664139,117.92162322998047,0.6236490597948432,0.07717808336019516,0.0368293821811676,35.6551628112793,2.334450007416308,0.07307145744562149,0.04632861167192459,24.44678497314453,4.472049964591861,0.12394935637712479,0.04779333993792534,73.59581756591797,0.41608346719294786,0.08979888260364532,0.046318091452121735,46.60995864868164,1.7051260331645608
161,161,0.10544301569461823,0.04340174049139023,73.92359924316406,6.4019763031974435,0.07085852324962616,0.03493189439177513,46.30210876464844,0.6183364791795611,0.0747217908501625,0.023189397528767586,73.64468383789062,2.348369440063834,0.08318183571100235,0.03526027873158455,77.20158386230469,4.3840944385156035,0.12634114921092987,0.044564276933670044,97.08185577392578,0.417266134172678,0.08855324238538742,0.025978734716773033,89.25794982910156,1.6866282811388373
168,168,0.11694537103176117,0.07571713626384735,24.73126983642578,6.3040074817836285,0.14248836040496826,0.08142393082380295,62.03240966796875,0.6065976098179817,0.06934080272912979,0.04281168431043625,18.367055892944336,2.3597815092653036,0.1395472139120102,0.07998935878276825,41.451839447021484,4.378616275265813,0.19833116233348846,0.0885777696967125,120.61415100097656,0.40638964902609587,0.06508810073137283,0.03792352229356766,27.148706436157227,1.6969627533107996
175,175,0.0592535100877285,0.026001451537013054,24.547121047973633,6.41613987646997,0.09904711693525314,0.05138987675309181,42.48270034790039,0.613409954123199,0.1383419781923294,0.06274812668561935,39.124977111816406,2.3379405476152897,0.13360141217708588,0.049717165529727936,49.105472564697266,4.362291686236858,0.1208646148443222,0.07465895265340805,41.01968002319336,0.41102033015340567,0.08969801664352417,0.03424637019634247,35.213443756103516,1.7718842448666692
182,182,0.030747774988412857,0.014980017207562923,10.571882247924805,6.303739848546684,0.10837679356336594,0.07165941596031189,30.34770965576172,0.6119227446615696,0.030172182247042656,0.01903385855257511,8.467442512512207,2.36434343457222,0.06423403322696686,0.030869323760271072,23.23076057434082,4.445288277231157,0.09357986599206924,0.04844316467642784,30.355472564697266,0.418708898127079,0.04010562598705292,0.024161525070667267,15.465120315551758,1.845888178795576
189,189,0.2448996752500534,0.05125527083873749,107.35617065429688,6.535483179613948,0.17247812449932098,0.031543128192424774,102.43443298339844,0.6259286813437939,0.05315414071083069,0.03007896989583969,41.250274658203125,2.3576587485149503,0.23862408101558685,0.06969663500785828,97.18989562988281,4.439919291064143,0.14063599705696106,0.05120297148823738,114.73588562011719,0.4143436048179865,0.0671195238828659,0.031600791960954666,41.91352844238281,1.8949377229437232
196,196,0.10451100021600723,0.07093518227338791,32.055355072021484,6.732289144769311,0.17032471299171448,0.06543251127004623,62.51918411254883,0.6655762828886509,0.05526536703109741,0.03723425045609474,27.469802856445312,2.4412429435178638,0.16010768711566925,0.11743195354938507,45.767539978027344,4.5528856767341495,0.058172643184661865,0.027384812012314796,35.589717864990234,0.4266646485775709,0.08949768543243408,0.035404838621616364,58.0829963684082,1.9075199738144875
203,203,0.053829532116651535,0.03140891715884209,15.114995956420898,6.644942288286984,0.11913284659385681,0.09431712329387665,24.346450805664062,0.6239525126293302,0.041973039507865906,0.025932446122169495,9.257357597351074,2.669298317283392,0.11177186667919159,0.07925333827733994,20.59650421142578,4.443621054291725,0.1940983384847641,0.10539741814136505,49.94211959838867,0.43629646953195333,0.1674254834651947,0.07333880662918091,39.71787643432617,1.7608652170747519
210,210,0.15947392582893372,0.09568770229816437,27.411087036132812,6.52739180251956,0.11628978699445724,0.06580110639333725,34.40650939941406,0.6141670979559422,0.1010901927947998,0.07375671714544296,34.9453010559082,2.483222828246653,0.12612424790859222,0.08688348531723022,18.374351501464844,4.500476263463497,0.09497003257274628,0.03107747808098793,35.86604690551758,0.42459170147776604,0.12333904206752777,0.05123355984687805,55.700809478759766,1.8470175098627806
