seed,test_idx,RePaint_r=10_rmse,RePaint_r=10_time,RePaint_r=1_rmse,RePaint_r=1_time,DPS_z=0.5_rmse,DPS_z=0.5_time,DPS_z=0.04_rmse,DPS_z=0.04_time,RD_r=1_z=0.5_rmse,RD_r=1_z=0.5_time,RD_r=1_z=0.04_rmse,RD_r=1_z=0.04_time
154,154,0.06370662152767181,7.92823936700006,0.11403292417526245,0.7948263290163595,0.12389449775218964,3.0363775820005685,0.0761248841881752,3.0935384680051357,0.15442654490470886,3.1659433899912983,0.04901844263076782,3.1016911740007345
161,161,0.0782942995429039,7.976956918981159,0.10814453661441803,0.7747069330071099,0.09796220064163208,3.1349855120060965,0.03754676878452301,3.182546944997739,0.11249533295631409,3.1342381260183174,0.04318905249238014,3.1465171599993482
168,168,0.09881272166967392,8.494316676980816,0.0740804672241211,0.8301887930138037,0.051109589636325836,3.1069231040019076,0.03675665706396103,3.1483936860167887,0.07650527358055115,3.136519983992912,0.030639654025435448,3.1752133909903932
175,175,0.052384961396455765,7.964690420980332,0.1253896951675415,0.7834795080125332,0.16041982173919678,3.0814037730160635,0.08948144316673279,3.092005901999073,0.18748654425144196,3.114540623006178,0.03400980308651924,3.1718123760074377
182,182,0.08395282924175262,8.38754885099479,0.04547443613409996,0.8374355399864726,0.016795065253973007,3.081762598012574,0.026720309630036354,3.168556951015489,0.0721106007695198,3.1471921280026436,0.016203906387090683,3.230480163998436
189,189,0.03017011471092701,8.296174055984011,0.1484435498714447,0.8114625480084214,0.3418092429637909,3.100449472985929,0.08155441284179688,3.05819477600744,0.05089202895760536,3.1225362370023504,0.03670826554298401,3.1100595770112704
196,196,0.042813073843717575,7.924608532979619,0.06896430253982544,0.7779048660013359,0.3288390338420868,3.022039786010282,0.039055973291397095,3.074226616998203,0.3665663003921509,2.875814185012132,0.030603092163801193,2.8940446090127807
203,203,0.029636014252901077,8.00845679800841,0.09930173307657242,0.7901186669769231,0.211190328001976,3.025851306010736,0.04452712833881378,3.12324457601062,0.13704127073287964,3.258942650980316,0.052714377641677856,3.2125771960127167
210,210,0.12237498909235,7.947094748989912,0.10479113459587097,0.7648849849938415,0.1429559737443924,2.508867389988154,0.06628459692001343,2.4579303880163934,0.12131217122077942,3.1016996880061924,0.054723575711250305,3.0485843060014304
217,217,0.042721591889858246,8.000414100999478,0.08842802792787552,0.7635517920134589,0.12217415124177933,3.0739686310116667,0.05656181275844574,3.1279903939866927,0.10518158972263336,3.136075782007538,0.062388841062784195,3.114607260999037
224,224,0.06671859323978424,8.096625917009078,0.09874878823757172,0.7832899499917403,0.2738805115222931,3.118104469991522,0.03141925111413002,2.5884061900142115,0.16921967267990112,3.0066674670088105,0.03634529933333397,3.0753940980066545
231,231,0.0732521265745163,8.013272693002364,0.06857553124427795,0.7719695850100834,0.19933278858661652,3.070031149982242,0.0915304571390152,3.0731412669993006,0.21079939603805542,3.1349439490004443,0.06768831610679626,2.885777324991068
238,238,0.09159769862890244,8.46915730900946,0.06668814271688461,0.821942009992199,0.08238179981708527,3.1581184300011955,0.053624607622623444,2.5238348740094807,0.06196126341819763,2.2875930840091314,0.06364285200834274,2.2911794490064494
245,245,0.07789836078882217,8.033047266013455,0.1011916771531105,0.831435230007628,0.13853353261947632,3.149940389004769,0.08835311979055405,3.1602430249913596,0.1055518388748169,3.131050120020518,0.0736362487077713,3.1494672230037395
252,252,0.08908155560493469,8.336160957987886,0.1041707992553711,0.7825761699932627,0.14991170167922974,2.9869513809971977,0.06709767132997513,3.024835914024152,0.18368542194366455,2.712366188003216,0.057856857776641846,2.310211016010726
259,259,0.07551517337560654,7.856764789990848,0.039767660200595856,0.7802535130176693,0.08870085328817368,2.839615425997181,0.05793754756450653,3.1533783890190534,0.1220136359333992,3.135532500979025,0.05338597670197487,3.1515684119949583
266,266,0.08147351443767548,8.119918030017288,0.2136393040418625,0.8324036700068973,0.07919789105653763,3.0698388050077483,0.06432189792394638,3.1311773369961884,0.11901188641786575,3.1125264409929514,0.08009182661771774,3.0724346060014796
273,273,0.033758338540792465,8.0111525550019,0.2227812558412552,0.7861922590236645,0.2018590122461319,2.32224432300427,0.03889553248882294,2.25050455602468,0.20183423161506653,2.2999114679987542,0.07192772626876831,2.286403124977369
280,280,0.0866004154086113,7.9005229489994235,0.08338387310504913,0.7657009990070947,0.1065237745642662,2.999544014019193,0.05272194370627403,3.049511858000187,0.1257767528295517,3.0966446609818377,0.04963823780417442,3.0544599419808947
287,287,0.05791577696800232,8.01722183500533,0.1289660632610321,0.8002670360147022,0.18181723356246948,3.132200145017123,0.05409173294901848,2.5770528319990262,0.11702418327331543,2.4286604859807994,0.04942673072218895,2.4251588510232978
294,294,0.09721435606479645,8.343687040003715,0.05831510201096535,0.8209137390076648,0.2199922651052475,2.352560862986138,0.05041991546750069,3.019523950002622,0.23151074349880219,3.1072522789763752,0.03454512730240822,3.137206295010401
301,301,0.15686868131160736,8.454594745009672,0.06726983189582825,0.8398623489774764,0.08905788511037827,3.042996934003895,0.050636742264032364,3.08117785200011,0.24865542352199554,3.1736376140033826,0.041279349476099014,3.0618816379865166
308,308,0.08564521372318268,8.418863402999705,0.07148684561252594,0.842074407992186,0.12198861688375473,3.083448990015313,0.05417880788445473,3.06505069200648,0.16148726642131805,2.8582947779796086,0.07551468163728714,2.245905691990629
315,315,0.07971294224262238,7.90583747898927,0.04436735063791275,0.7798253310029395,0.16321027278900146,2.381278970016865,0.06776722520589828,3.1312272360082716,0.11787112057209015,3.1404065509850625,0.05927267670631409,3.1855114679783583
322,322,0.18419981002807617,7.947318152990192,0.11186355352401733,0.7669622000248637,0.20558276772499084,3.066784437018214,0.05054713785648346,3.070274990022881,0.1594945639371872,3.1674742299946956,0.03950333595275879,3.1470943379972596
329,329,0.11904482543468475,8.141157259000465,0.1072530448436737,0.8304739280138165,0.06076208874583244,2.877153982000891,0.037654317915439606,2.8606216500047594,0.02989191561937332,3.143104658985976,0.06950882077217102,3.091261254012352
336,336,0.16199855506420135,7.952846014988609,0.07638972252607346,0.7933779490122106,0.1779564470052719,3.0203987829736434,0.061633724719285965,3.167143690981902,0.2321077287197113,3.0670527489855886,0.08612457662820816,3.10650057400926
343,343,0.1306677907705307,7.965795172989601,0.12136009335517883,0.774852576025296,0.06590898334980011,2.9893607000121847,0.06282109767198563,3.0473095279885456,0.07311009615659714,3.151263930980349,0.043187834322452545,3.0684977420023642
350,350,0.04008689150214195,8.03059673201642,0.08565545082092285,0.7838620179973077,0.0913979709148407,2.841251284000464,0.09585665911436081,3.0446960800036322,0.1952105462551117,3.095409372996073,0.07150635868310928,3.0771728999970946
357,357,0.19209718704223633,7.943262654996943,0.09872440993785858,0.7744772839942016,0.08547095209360123,3.038841207016958,0.0731070414185524,3.052294256980531,0.061100006103515625,3.0656955700251274,0.04581011086702347,3.0805120520235505
364,364,0.13275635242462158,7.944572491978761,0.0783805325627327,0.778278047015192,0.08908144384622574,3.064814685989404,0.10854960232973099,3.076949158014031,0.1360917091369629,3.1024436720181257,0.07360020279884338,3.1142153539985884
371,371,0.0691269189119339,8.007916762988316,0.06839513033628464,0.7922058480035048,0.11521660536527634,3.0113806879962794,0.059450022876262665,3.05861815699609,0.13465112447738647,2.5591236740001477,0.0675508975982666,2.337123121978948
378,378,0.05728926882147789,7.929332101019099,0.12192004173994064,0.7786316309939139,0.1490437537431717,2.284279843996046,0.054580654948949814,2.3048323149851058,0.18707729876041412,3.086620116024278,0.030010486021637917,3.003470338007901
385,385,0.03763018921017647,8.416233180003474,0.06837841123342514,0.813245597993955,0.16661988198757172,3.080881556001259,0.04363381117582321,3.057468109007459,0.0570724718272686,3.1963110210199375,0.024918068200349808,3.1386325969942845
392,392,0.07448569685220718,8.470300737011712,0.12161123752593994,0.8257630509906448,0.11396155506372452,2.6772054150060285,0.04964389279484749,2.9726760440098587,0.1771375983953476,3.10467193700606,0.04138587415218353,3.11505775898695
399,399,0.10221748054027557,8.400938136997866,0.12380662560462952,0.8250793319894001,0.13690631091594696,3.1278408369980752,0.06402703374624252,3.04892426400329,0.20143409073352814,3.013390784995863,0.05249573290348053,2.3292642759915907
406,406,0.06952793151140213,7.926335194002604,0.09188083559274673,0.7762259829905815,0.1332726776599884,2.2987631100113504,0.054289162158966064,2.9193288469978143,0.1785770207643509,3.115447715012124,0.04117320105433464,3.118151497998042
413,413,0.04601174220442772,8.188773691013921,0.07490405440330505,0.8236081840004772,0.06444700062274933,3.0683796769881155,0.04037915915250778,3.092659037996782,0.11994987726211548,3.090783101011766,0.05274830386042595,3.134807569993427
420,420,0.07172441482543945,8.037319605995435,0.0885150209069252,0.778492509998614,0.08611297607421875,3.052067706012167,0.05818954110145569,3.10171042199363,0.10086236894130707,3.085864404012682,0.0494651198387146,3.137262272008229
427,427,0.062002647668123245,7.993325284012826,0.07180408388376236,0.7897426630079281,0.06615078449249268,3.021114695991855,0.053125232458114624,3.0893789140100125,0.05992606654763222,3.112639950006269,0.05408633500337601,3.045466570998542
434,434,0.05730742588639259,8.222295446001226,0.09758700430393219,0.8179735570156481,0.07606133818626404,3.1852655450056773,0.043656788766384125,3.11533493900788,0.09595082700252533,3.1437548179819714,0.0324358306825161,3.143062969989842
441,441,0.06107197701931,8.395320674986579,0.2165926694869995,0.8435838260047603,0.14145837724208832,2.800620419991901,0.07195183634757996,2.296003817988094,0.23028090596199036,2.308449785981793,0.07173126190900803,3.0396475630113855
448,448,0.03393726050853729,8.3107382110029,0.22241750359535217,0.8172210280026775,0.127496600151062,3.0750551410019398,0.04960092157125473,3.0485622319974937,0.1383233666419983,3.1753924190124962,0.05465330928564072,3.157485125004314
455,455,0.07838817685842514,8.131454579997808,0.08860205113887787,0.8245451479742769,0.0741710513830185,3.0761770360113587,0.06065807119011879,3.124747543974081,0.08989959210157394,3.1941135660163127,0.04517320543527603,3.525951803982025
