epoch,timestamp_utc,train_loss,val_loss
42,2026-06-11T17:25:57.430732+00:00,0.0048939322,0.0054214086
43,2026-06-11T17:27:06.602420+00:00,0.0048406874,0.0054039830
44,2026-06-11T17:28:15.824321+00:00,0.0050118860,0.0049055535
45,2026-06-11T17:29:25.133716+00:00,0.0047513782,0.0043904002
46,2026-06-11T17:30:36.033241+00:00,0.0050555997,0.0050277758
47,2026-06-11T17:31:45.254633+00:00,0.0050712463,0.0058417495
48,2026-06-11T17:32:54.451971+00:00,0.0048819452,0.0046548416
49,2026-06-11T17:34:03.665096+00:00,0.0047492269,0.0053582415
50,2026-06-11T17:35:12.789541+00:00,0.0047977160,0.0046234497
51,2026-06-11T17:36:22.015679+00:00,0.0051627942,0.0050742868
52,2026-06-11T17:37:31.256534+00:00,0.0049361330,0.0042974365
53,2026-06-11T17:38:42.210734+00:00,0.0046499584,0.0049169940
54,2026-06-11T17:39:51.483958+00:00,0.0047453353,0.0054408535
55,2026-06-11T17:41:00.658572+00:00,0.0047523576,0.0045106648
56,2026-06-11T17:42:09.903362+00:00,0.0049184351,0.0050876574
57,2026-06-11T17:43:19.157109+00:00,0.0046456989,0.0046726456
58,2026-06-11T17:44:28.674010+00:00,0.0048170963,0.0052013524
59,2026-06-11T17:45:38.071417+00:00,0.0049896832,0.0048728904
60,2026-06-11T17:46:47.358842+00:00,0.0046317561,0.0046867710
61,2026-06-11T17:47:56.574252+00:00,0.0047528650,0.0038723522
62,2026-06-11T17:49:07.284440+00:00,0.0048257308,0.0057095690
63,2026-06-11T17:50:16.534300+00:00,0.0046464902,0.0052337804
64,2026-06-11T17:51:25.897356+00:00,0.0047136826,0.0048171579
65,2026-06-11T17:52:35.389959+00:00,0.0048372770,0.0047019095
66,2026-06-11T17:53:44.942006+00:00,0.0046368484,0.0047389536
67,2026-06-11T17:54:54.098080+00:00,0.0046086433,0.0045190243
68,2026-06-11T17:56:03.339094+00:00,0.0044774888,0.0046616992
69,2026-06-11T17:57:12.644534+00:00,0.0047935660,0.0049248915
70,2026-06-11T17:58:21.788666+00:00,0.0044789499,0.0044399091
71,2026-06-11T17:59:31.069738+00:00,0.0047948257,0.0045050186
72,2026-06-11T18:00:40.293048+00:00,0.0048956607,0.0047551185
73,2026-06-11T18:01:49.490400+00:00,0.0045873591,0.0043903909
74,2026-06-11T18:02:58.806044+00:00,0.0047170078,0.0047405623
75,2026-06-11T18:04:08.026997+00:00,0.0044671655,0.0048169882
76,2026-06-11T18:05:17.355102+00:00,0.0044364813,0.0049596949
77,2026-06-11T18:06:26.807208+00:00,0.0045459756,0.0042390076
78,2026-06-11T18:07:36.286650+00:00,0.0043057931,0.0045824448
79,2026-06-11T18:08:45.598862+00:00,0.0045635408,0.0046724701
80,2026-06-11T18:09:54.806579+00:00,0.0043757233,0.0043934253
81,2026-06-11T18:11:04.144295+00:00,0.0043798492,0.0047511262
82,2026-06-11T18:12:13.388419+00:00,0.0042612979,0.0046434677
83,2026-06-11T18:13:22.637135+00:00,0.0047263154,0.0048806523
84,2026-06-11T18:14:31.996110+00:00,0.0046254848,0.0042692520
85,2026-06-11T18:15:41.179632+00:00,0.0044009178,0.0050568974
86,2026-06-11T18:16:50.441601+00:00,0.0044038272,0.0040390165
87,2026-06-11T18:17:59.647088+00:00,0.0044930721,0.0045349586
88,2026-06-11T18:19:08.882293+00:00,0.0045546106,0.0037897470
89,2026-06-11T18:20:19.761685+00:00,0.0044002664,0.0041969789
90,2026-06-11T18:21:28.995993+00:00,0.0045260469,0.0043308606
91,2026-06-11T18:22:38.341178+00:00,0.0045047125,0.0045902302
92,2026-06-11T18:23:47.664927+00:00,0.0042809973,0.0045098633
93,2026-06-11T18:24:56.977492+00:00,0.0043774378,0.0042189091
94,2026-06-11T18:26:06.223718+00:00,0.0044231272,0.0050569641
95,2026-06-11T18:27:15.438718+00:00,0.0043231387,0.0044145848
96,2026-06-11T18:28:24.874376+00:00,0.0041948819,0.0045379775
97,2026-06-11T18:29:34.182567+00:00,0.0044776508,0.0040766615
98,2026-06-11T18:30:43.622262+00:00,0.0043137810,0.0049288420
99,2026-06-11T18:31:52.921061+00:00,0.0042277905,0.0042915711
100,2026-06-11T18:33:02.144930+00:00,0.0043296946,0.0042673553
101,2026-06-11T18:34:12.224135+00:00,0.0045444443,0.0043643750
102,2026-06-11T18:35:21.573647+00:00,0.0044610664,0.0040635783
103,2026-06-11T18:36:30.795679+00:00,0.0041975291,0.0046925733
104,2026-06-11T18:37:40.133255+00:00,0.0043388125,0.0047577240
105,2026-06-11T18:38:49.287535+00:00,0.0039801444,0.0044443054
106,2026-06-11T18:39:58.518550+00:00,0.0042765178,0.0049022038
107,2026-06-11T18:41:07.749451+00:00,0.0045333474,0.0044735359
108,2026-06-11T18:42:16.913047+00:00,0.0046322375,0.0042103322
109,2026-06-11T18:43:26.199873+00:00,0.0040185622,0.0039372468
110,2026-06-11T18:44:35.493196+00:00,0.0043980061,0.0048870236
111,2026-06-11T18:45:44.893997+00:00,0.0042105090,0.0050691749
112,2026-06-11T18:46:54.183296+00:00,0.0040744879,0.0045849411
113,2026-06-11T18:48:03.428466+00:00,0.0044591782,0.0043509330
114,2026-06-11T18:49:12.916413+00:00,0.0043911971,0.0042177775
115,2026-06-11T18:50:22.448777+00:00,0.0039467690,0.0042240475
116,2026-06-11T18:51:31.935461+00:00,0.0041215456,0.0044522248
117,2026-06-11T18:52:41.180982+00:00,0.0042108351,0.0041065719
118,2026-06-11T18:53:50.447451+00:00,0.0039552847,0.0043581681
119,2026-06-11T18:54:59.749181+00:00,0.0040349040,0.0048016013
120,2026-06-11T18:56:09.182125+00:00,0.0042721162,0.0044505016
121,2026-06-11T18:57:18.639936+00:00,0.0040738975,0.0049336177
122,2026-06-11T18:58:27.799438+00:00,0.0044913720,0.0044047539
123,2026-06-11T18:59:36.980306+00:00,0.0043909596,0.0047224892
124,2026-06-11T19:00:46.294426+00:00,0.0042338927,0.0049490830
125,2026-06-11T19:01:55.559517+00:00,0.0039985740,0.0045219610
126,2026-06-11T19:03:04.863650+00:00,0.0038547494,0.0044798305
127,2026-06-11T19:04:14.130480+00:00,0.0042154439,0.0043283917
128,2026-06-11T19:05:23.390312+00:00,0.0044076262,0.0042411355
129,2026-06-11T19:06:32.686441+00:00,0.0040446392,0.0043058465
130,2026-06-11T19:07:41.873641+00:00,0.0039352276,0.0048507523
131,2026-06-11T19:08:51.150951+00:00,0.0044120279,0.0041214707
132,2026-06-11T19:10:00.298701+00:00,0.0042186954,0.0042304349
133,2026-06-11T19:11:09.783144+00:00,0.0041699379,0.0044432940
134,2026-06-11T19:12:19.206608+00:00,0.0039636125,0.0043386927
135,2026-06-11T19:13:28.557222+00:00,0.0042366407,0.0039578708
136,2026-06-11T19:14:37.906802+00:00,0.0043123271,0.0044035682
137,2026-06-11T19:15:47.295949+00:00,0.0038869146,0.0041629706
138,2026-06-11T19:16:56.822406+00:00,0.0042911305,0.0046534608
139,2026-06-11T19:18:06.216137+00:00,0.0039718119,0.0044348373
140,2026-06-11T19:19:15.351010+00:00,0.0044974527,0.0042359241
141,2026-06-11T19:20:24.673020+00:00,0.0040593513,0.0044838566
142,2026-06-11T19:21:33.997334+00:00,0.0039872392,0.0043453994
