seed,test_idx,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_mag_err,DPS_z0.04_angle_err_deg,DPS_z0.04_time
98,98,0.1100853905081749,90.03034210205078,6.185580795630813,0.03892216831445694,26.261045455932617,0.5856236265972257,0.027363140136003494,17.863401412963867,2.2667179610580206
105,105,0.028696468099951744,55.96906280517578,6.286202642135322,0.024835234507918358,55.02293014526367,0.5818813303485513,0.014790435321629047,55.510711669921875,2.268560386262834
112,112,0.036128170788288116,12.774399757385254,6.185198439285159,0.09776528179645538,22.88027000427246,0.5924175651744008,0.02667144499719143,11.096044540405273,2.3188152480870485
119,119,0.025517940521240234,70.32201385498047,6.1839784309268,0.06549801677465439,86.84854125976562,0.5892798276618123,0.013391641899943352,47.95552062988281,2.255195359699428
126,126,0.09186377376317978,65.28611755371094,6.309381960891187,0.055586136877536774,75.95040893554688,0.6200683759525418,0.03134498372673988,63.552913665771484,2.1870914213359356
133,133,0.0583052821457386,29.477418899536133,6.263726490549743,0.02747882530093193,13.610565185546875,0.609124356880784,0.04930102825164795,22.713544845581055,2.202737510204315
140,140,0.07571195811033249,38.20976638793945,6.375982404686511,0.06304943561553955,33.61399841308594,0.6179303536191583,0.047609928995370865,18.27935791015625,2.314789133146405
147,147,0.061290789395570755,69.44281768798828,6.552585212513804,0.06615500897169113,66.01862335205078,0.6536279041320086,0.05400243028998375,39.19322967529297,2.207462285645306
154,154,0.04031320661306381,77.18083953857422,6.314487224444747,0.09228213876485825,50.380855560302734,0.5973704708740115,0.021716345101594925,34.633724212646484,2.295316996984184
161,161,0.044911038130521774,43.16300582885742,6.6223108898848295,0.03946637362241745,75.2532958984375,0.6611442416906357,0.020871063694357872,50.48564529418945,2.290641810745001
168,168,0.02984539419412613,41.455074310302734,6.389405406080186,0.022296519950032234,22.612194061279297,0.6300660688430071,0.029142655432224274,18.182310104370117,2.301968574523926
175,175,0.0659463107585907,38.89189529418945,6.340014677494764,0.06357727199792862,50.83848571777344,0.5925683947280049,0.03230571374297142,26.341962814331055,2.2474652668461204
182,182,0.06128238886594772,18.780624389648438,6.327941614203155,0.03607626631855965,12.758801460266113,0.63100849930197,0.02424454316496849,12.00534725189209,2.190320450812578
189,189,0.05169832333922386,124.23128509521484,6.2389672212302685,0.03268358111381531,111.21595764160156,0.5927169546484947,0.040579210966825485,28.40596580505371,1.9562570862472057
196,196,0.08552659302949905,36.283233642578125,6.260401715524495,0.04077386483550072,81.97622680664062,0.6220405288040638,0.03142353519797325,36.33270263671875,2.1830356242135167
203,203,0.05566874518990517,19.99195098876953,6.182066059671342,0.06421579420566559,23.781295776367188,0.5826156316325068,0.03181173652410507,16.73879051208496,2.2403552355244756
210,210,0.0371241569519043,22.67462730407715,6.226341724395752,0.06586338579654694,38.60123825073242,0.6177995400503278,0.07182715088129044,66.30860900878906,2.2362444158643484
217,217,0.03288429602980614,26.27866554260254,6.190964668057859,0.07456650584936142,124.18048095703125,0.598047811537981,0.028712335973978043,24.214534759521484,2.2371598863974214
224,224,0.028289806097745895,39.244808197021484,6.425734359771013,0.049968332052230835,96.64988708496094,0.6158855566754937,0.03154390677809715,67.9351577758789,2.2632227148860693
231,231,0.03302546590566635,14.53050422668457,6.182548097334802,0.0751013234257698,19.222064971923828,0.5934611419215798,0.03680584579706192,15.240938186645508,2.2466304562985897
238,238,0.043587177991867065,29.370019912719727,6.384172862395644,0.03990182653069496,32.262046813964844,0.6032823566347361,0.04029226675629616,30.35784339904785,2.2544550206512213
245,245,0.07626647502183914,25.829832077026367,6.355640523135662,0.06544869393110275,31.167295455932617,0.6218355381861329,0.03991297259926796,46.44462966918945,2.294918821193278
252,252,0.07913170754909515,91.951416015625,6.251145889982581,0.07408341765403748,64.71570587158203,0.5925717297941446,0.048129282891750336,88.94654083251953,2.2071281289681792
259,259,0.07843109965324402,74.85169219970703,6.408915798179805,0.09335678815841675,68.37535095214844,0.6424106881022453,0.02364237606525421,55.370277404785156,2.3104155091568828
